Date,,Berri1,Boyer,Boyer 2,Brébeuf,Christophe-Colomb,CSC (Côte Sainte-Catherine),Eco-Totem - Métro Laurier,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont Jacques-Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent/Bellechasse,Saint-Urbain
04/02/2017,00:00,143,47,93,2,23,100,270,273,61,0,90,9,0,143,276,50,10,321,76
05/02/2017,00:00,108,46,79,2,25,69,262,234,63,0,81,11,0,184,273,45,12,310,66
06/02/2017,00:00,443,115,233,3,71,318,394,589,166,46,287,12,1,264,558,156,52,699,206
07/02/2017,00:00,413,122,214,8,61,287,283,539,123,86,243,11,0,229,517,134,38,543,62
08/02/2017,00:00,285,87,184,4,4,174,354,251,137,32,159,16,0,189,370,76,39,478,31
09/02/2017,00:00,397,98,233,5,27,207,425,525,137,44,186,8,0,237,441,111,56,534,49
10/02/2017,00:00,320,93,167,1,17,221,353,422,114,28,178,13,0,223,476,123,48,502,90
11/02/2017,00:00,342,70,101,1,1,15,166,166,61,24,47,7,0,140,318,160,9,235,25
12/02/2017,00:00,78,29,77,9,0,18,122,90,46,12,19,7,0,83,159,26,13,167,6
13/02/2017,00:00,244,89,160,0,12,16,303,344,92,53,61,8,91,154,382,82,24,335,5
14/02/2017,00:00,413,123,243,2,48,168,418,476,140,84,204,7,0,230,556,158,40,585,7
15/02/2017,00:00,278,121,179,3,2,102,373,367,125,29,132,2,0,179,421,88,39,387,14
16/02/2017,00:00,329,131,168,48,0,29,295,462,144,37,125,0,9,231,462,111,28,474,14
17/02/2017,00:00,351,96,203,2,0,47,253,524,143,66,158,113,0,229,523,140,49,542,1
18/02/2017,00:00,156,71,132,1,0,77,211,277,85,17,97,392,0,234,313,36,6,328,11
19/02/2017,00:00,186,77,124,0,1,90,302,275,90,21,95,115,1,209,364,49,6,429,24
20/02/2017,00:00,565,158,312,60,4,319,488,671,177,65,376,8,64,324,740,240,43,971,84
21/02/2017,00:00,667,134,297,19,4,368,545,816,198,63,403,22,0,371,771,235,59,965,180
22/02/2017,00:00,662,156,306,11,4,369,666,862,240,74,437,38,0,458,845,264,60,1096,222
23/02/2017,00:00,637,155,275,11,16,370,630,830,225,63,445,39,0,456,884,217,48,1086,202
24/02/2017,00:00,490,138,230,12,29,273,562,689,193,76,343,22,0,366,663,184,51,880,219
25/02/2017,00:00,225,77,138,19,38,113,341,294,108,25,89,32,0,217,309,56,11,476,115
26/02/2017,00:00,213,87,103,12,20,101,296,286,70,22,115,29,0,198,342,60,20,431,109
27/02/2017,00:00,578,178,371,31,95,384,654,950,323,92,456,50,2,491,843,239,64,1026,306
28/02/2017,00:00,793,232,423,48,127,452,788,1221,331,200,586,66,30,662,1099,340,69,1407,369
01/03/2017,00:00,429,121,183,34,60,207,533,662,186,104,314,18,0,354,631,161,40,770,208
02/03/2017,00:00,450,103,239,13,72,294,468,670,159,76,343,13,4,319,672,193,46,816,159
03/03/2017,00:00,421,107,186,19,61,252,456,680,182,78,301,12,2,291,553,150,40,745,183
04/03/2017,00:00,174,58,103,12,12,78,203,204,74,14,71,7,0,161,257,38,16,273,61
05/03/2017,00:00,166,85,99,28,14,113,259,234,72,21,79,11,0,165,293,50,16,380,73
06/03/2017,00:00,504,154,242,30,58,307,509,891,230,121,378,24,0,342,653,227,55,813,221
07/03/2017,00:00,301,80,128,25,18,149,325,556,127,52,211,9,2,260,440,113,34,474,109
08/03/2017,00:00,753,236,366,48,79,482,683,1189,328,178,576,88,1,641,1026,287,70,1323,321
09/03/2017,00:00,546,150,237,23,61,343,578,988,210,117,450,15,0,414,752,238,53,959,261
10/03/2017,00:00,444,136,190,36,48,236,495,743,184,89,334,11,0,358,577,174,39,793,204
11/03/2017,00:00,98,48,60,11,8,78,237,161,43,15,50,7,10,87,175,23,8,239,59
12/03/2017,00:00,118,47,67,8,6,99,224,173,49,20,54,13,0,107,197,36,4,308,40
13/03/2017,00:00,446,128,248,23,38,341,494,671,183,106,349,22,0,263,609,172,43,785,89
14/03/2017,00:00,256,48,125,12,26,141,297,404,111,65,182,13,0,168,338,110,15,546,43
15/03/2017,00:00,94,59,38,0,2,0,255,1,26,10,53,1,0,63,160,5,15,161,0
16/03/2017,00:00,211,127,137,10,3,32,286,291,127,0,114,0,0,224,394,9,40,450,67
17/03/2017,00:00,257,136,193,5,2,2,450,531,111,0,182,0,277,329,514,14,48,494,182
18/03/2017,00:00,155,76,148,2,14,2,346,294,79,7,83,7,0,244,412,44,16,391,133
19/03/2017,00:00,197,86,171,0,42,23,376,390,87,47,112,11,0,255,381,69,18,434,118
20/03/2017,00:00,611,164,342,0,73,271,622,918,258,100,390,40,5,463,845,219,38,1102,282
21/03/2017,00:00,674,173,364,50,81,379,688,980,267,139,409,28,0,494,900,234,39,1161,301
22/03/2017,00:00,424,116,210,11,56,315,534,715,164,13,283,17,0,322,623,163,51,797,206
23/03/2017,00:00,577,155,312,19,80,398,724,916,257,21,401,33,0,451,770,226,56,1121,232
24/03/2017,00:00,387,135,233,15,60,195,420,582,187,25,215,21,6,272,535,178,59,726,169
25/03/2017,00:00,188,66,110,2,25,41,317,268,65,4,92,1,0,192,336,59,16,454,140
26/03/2017,00:00,255,108,187,11,44,110,402,333,89,6,138,22,3,282,390,61,13,585,157
27/03/2017,00:00,437,112,195,18,51,247,496,708,185,22,336,14,0,319,600,165,40,702,189
28/03/2017,00:00,579,179,303,28,62,369,580,856,232,33,467,31,0,415,789,201,55,991,269
29/03/2017,00:00,799,271,403,42,138,603,896,1241,361,137,660,59,0,630,1103,316,50,1455,373
30/03/2017,00:00,1133,308,585,44,201,715,1036,1619,475,215,891,110,0,909,1370,405,85,1972,493
31/03/2017,00:00,704,204,351,53,119,409,812,1079,298,118,536,43,1,568,933,271,55,1302,344
01/04/2017,00:00,149,93,124,30,21,18,360,269,102,27,95,17,0,273,355,60,19,385,136
02/04/2017,00:00,549,249,439,99,138,175,702,814,254,150,421,251,2,668,944,250,50,1200,319
03/04/2017,00:00,1589,539,922,911,320,1035,1383,2245,681,488,1352,419,36,1289,2036,698,124,2791,750
04/04/2017,00:00,557,141,212,94,88,329,629,762,189,150,483,75,0,369,688,217,58,812,279
05/04/2017,00:00,967,297,468,421,175,676,907,1338,362,249,744,138,0,763,1278,344,75,1589,443
06/04/2017,00:00,649,178,261,439,118,390,748,907,239,157,517,96,0,438,798,242,50,1048,297
07/04/2017,00:00,610,190,279,451,114,359,601,919,255,154,523,106,0,528,823,267,66,1144,320
08/04/2017,00:00,629,307,478,697,191,406,820,912,374,223,487,260,0,839,1095,296,27,1347,382
09/04/2017,00:00,1680,812,1185,1668,743,826,1303,1510,669,656,864,1573,1,1751,2074,787,94,2559,583
10/04/2017,00:00,2968,1103,1636,2592,970,1731,1888,3561,1260,1200,2127,2066,135,2210,3241,1556,214,4458,1167
11/04/2017,00:00,1299,416,619,1062,322,798,1228,1878,508,433,1111,176,484,924,1565,547,118,3158,660
12/04/2017,00:00,1748,654,951,1510,482,1130,1553,2327,717,602,1401,296,706,1282,2005,782,183,3220,823
13/04/2017,00:00,2433,520,1354,2193,733,1594,2097,3262,1027,887,1771,804,1224,1881,2816,1144,157,3998,1111
14/04/2017,00:00,2121,1206,1656,2410,976,1034,1995,2343,904,868,1222,1620,1504,2276,2872,1008,193,3708,914
15/04/2017,00:00,1942,918,1262,2083,804,866,1715,2363,857,760,1032,1454,1301,2133,2534,927,178,3055,724
16/04/2017,00:00,439,235,310,537,124,241,594,775,204,167,361,148,332,633,763,184,46,924,243
17/04/2017,00:00,1167,589,810,1276,389,727,1441,1931,603,452,1003,516,706,1353,1775,588,167,2418,635
18/04/2017,00:00,3226,1101,1587,2724,818,1831,2535,4309,1258,1126,2256,960,1578,2349,3429,1439,389,4982,1400
19/04/2017,00:00,1580,439,661,1346,350,823,1442,2133,597,593,1147,260,597,1104,1698,797,169,2441,740
20/04/2017,00:00,2520,953,1260,2306,595,1473,2299,3557,1023,816,2010,645,1128,2350,3066,1097,254,4224,1159
21/04/2017,00:00,1182,443,567,1115,254,640,1294,1918,466,356,981,162,487,1085,1603,528,162,2115,595
22/04/2017,00:00,1340,622,823,1407,316,766,1964,1991,535,337,915,332,685,1737,1999,388,115,2990,703
23/04/2017,00:00,2872,1638,1991,3208,1335,1293,2483,3138,1258,1296,1550,2237,2307,3394,3956,1390,225,4236,1090
24/04/2017,00:00,2697,1046,1516,1789,667,1662,2404,3807,1160,1017,2130,756,1403,2089,3168,1295,339,4502,1236
25/04/2017,00:00,2466,838,1220,1575,656,1383,1986,3361,883,814,1721,532,1095,1776,2796,1138,345,3786,1113
26/04/2017,00:00,2369,868,1152,1529,557,1361,2138,3699,1013,796,1803,818,1145,2004,2883,1024,358,3706,991
27/04/2017,00:00,4350,1861,2507,3406,1466,2580,3564,5916,1964,1838,3068,2092,2718,3892,5145,2269,614,6752,1866
28/04/2017,00:00,3758,1587,2072,3206,1112,1929,3264,5268,1653,1463,2666,1098,1842,3242,4608,1676,513,6003,1666
29/04/2017,00:00,2816,1496,2021,3247,1023,1353,2894,3659,1192,1002,1497,1596,1772,3304,4139,1152,244,4626,1270
30/04/2017,00:00,979,556,643,1099,313,543,1407,1512,395,330,592,235,598,1278,1531,313,84,2010,588
01/05/2017,00:00,722,257,391,653,173,385,851,1168,327,281,613,112,384,662,1057,362,113,1228,385
02/05/2017,00:00,3340,1167,1526,2875,794,1711,2630,4687,1360,1146,2390,1092,1575,2530,3593,1546,490,5182,1453
03/05/2017,00:00,3292,1252,1672,3117,832,1873,2687,4805,1427,1287,2379,1010,1690,2566,3660,1659,502,5335,1542
04/05/2017,00:00,4261,1676,2302,4064,1243,2444,3321,5920,1752,1719,2919,1656,2376,3265,4698,2133,534,6639,1955
05/05/2017,00:00,1049,398,557,1007,210,531,1261,1676,441,370,881,154,507,883,1489,543,166,1941,594
06/05/2017,00:00,1443,668,831,1599,358,800,1984,2294,603,439,923,707,901,2017,2189,574,147,3004,773
07/05/2017,00:00,975,572,706,1230,263,592,1382,1689,443,293,669,287,551,1388,1607,343,70,2172,546
08/05/2017,00:00,2338,854,1267,2279,583,1340,2145,3708,994,905,1859,456,1116,1885,2819,1218,378,3983,1159
09/05/2017,00:00,2981,1090,1470,2771,729,1592,2489,4389,1021,1063,2222,712,1577,2330,3468,1403,467,4771,1386
10/05/2017,00:00,3535,1412,1842,3310,956,2095,2988,5211,1485,1387,2625,918,1895,2689,3986,1844,510,5757,1609
11/05/2017,00:00,3705,1483,1860,3581,1000,2101,3076,5463,1544,1437,2700,894,1943,2948,4054,1876,526,6255,1767
12/05/2017,00:00,4279,1841,2438,4474,1407,2183,3720,6081,1821,1702,3046,1943,2384,3763,5049,2191,562,7150,2091
13/05/2017,00:00,2254,1220,1490,2690,822,1070,2529,3042,951,776,1277,1370,1507,2890,3298,956,185,4266,1144
14/05/2017,00:00,750,429,535,982,215,452,1277,1297,401,252,523,155,481,1096,1422,280,78,1729,460
15/05/2017,00:00,3993,1630,2221,3981,1164,2281,3148,5525,1730,1675,2891,1118,1887,3390,4844,2170,570,6380,1281
16/05/2017,00:00,5217,2382,3239,5609,1910,3062,4112,7246,2302,2736,3808,2248,3324,4514,6376,3522,773,8549,1208
17/05/2017,00:00,6882,2371,3146,6184,1792,2910,4069,7079,2287,2893,3472,2946,2886,4226,6678,3781,832,8089,1160
18/05/2017,00:00,5370,2142,2723,5411,1499,2704,4271,6916,2147,2131,3457,1507,2404,3689,5812,2558,730,7963,1026
19/05/2017,00:00,5451,1805,2360,4538,1251,2097,3451,6090,1763,1984,2995,1325,2096,3628,5177,2391,668,6965,1178
20/05/2017,00:00,5291,1904,2330,4416,1325,1407,3043,4456,1536,2022,2039,2254,2523,3721,4778,1988,324,5446,1087
21/05/2017,00:00,4414,1572,1884,3875,1052,1193,2638,3661,1237,1913,1756,1952,,3274,4054,1459,334,4509,904
22/05/2017,00:00,846,400,555,937,225,448,1095,1254,363,243,552,168,,1042,1399,315,73,1655,364
23/05/2017,00:00,5662,2284,3053,5338,1647,2944,3978,6977,2209,2220,3694,1770,,4156,6097,310,721,8141,1324
24/05/2017,00:00,5959,2387,3283,5729,1830,2994,4277,7404,2371,2434,3984,2237,,4524,6611,839,745,8724,1536
25/05/2017,00:00,3755,1365,1923,3470,990,1842,2908,4859,1448,1359,2526,859,,2605,3933,590,477,5619,1186
26/05/2017,00:00,2283,931,1135,2295,470,1081,2257,3249,859,821,1677,383,,2020,2885,225,329,3886,734
27/05/2017,00:00,4297,2179,2784,4802,1689,1552,3547,4463,1564,1690,2157,2409,,4292,5361,676,349,6252,1063
28/05/2017,00:00,5409,2428,2833,5421,1897,1862,3810,5467,1718,2264,2556,3170,,5325,6496,1290,393,6241,1081
29/05/2017,00:00,2470,841,1245,2310,605,1162,2101,3165,1028,982,1756,451,,1798,2727,349,311,3778,816
30/05/2017,00:00,2598,981,1251,2485,596,1276,2338,3783,939,844,2044,480,,2254,3009,302,380,4183,820
31/05/2017,00:00,3987,1611,2029,3974,963,1845,3355,5348,1509,1454,2711,1079,,3349,4491,579,452,6261,1056
01/06/2017,00:00,4931,1903,2491,4672,1317,2289,3848,6404,1910,2020,3235,1354,,3899,5482,1307,574,7657,1776
02/06/2017,00:00,3882,1554,1948,4965,820,1892,3244,4859,1341,1362,2785,748,,6041,6049,1156,516,5898,1770
03/06/2017,00:00,2320,1290,1459,2493,728,1078,2847,3144,891,789,1328,639,,3094,3635,330,194,4644,1208
04/06/2017,00:00,3517,2449,3140,4153,1860,2418,4029,4784,1866,1595,3470,1558,,10199,7346,1004,253,7695,2427
05/06/2017,00:00,1746,618,870,1712,413,834,1606,2334,748,758,1348,361,,1299,2164,558,244,2827,888
06/06/2017,00:00,2227,880,1124,2174,67,1143,1583,3278,939,750,1753,318,,2118,2826,599,373,3807,1050
07/06/2017,00:00,6675,2621,3530,6317,2136,2934,4788,7717,2481,2855,4132,1692,,5175,7206,2223,878,9954,2650
08/06/2017,00:00,6656,2701,3482,6650,1920,3174,4729,6927,2428,2871,4226,1440,,5254,7465,2170,627,10089,2755
09/06/2017,00:00,5190,3568,2372,5103,1348,2174,3992,5325,1882,1982,3305,935,,4304,6047,1419,620,8315,2353
10/06/2017,00:00,4845,4933,2963,5059,1840,1636,3763,4119,1735,2024,2237,1554,,4733,6173,985,401,7555,1783
11/06/2017,00:00,3916,3994,2348,4361,327,1505,3173,3790,1546,1484,1922,1311,,4196,5243,1478,178,6352,1417
12/06/2017,00:00,5062,4308,2670,5253,0,2539,3914,6495,2168,2082,3469,906,,3728,5776,2243,598,8169,1963
13/06/2017,00:00,6881,5240,3545,6384,0,3052,2729,7815,2566,2935,4146,1514,,4890,7068,3095,800,11529,1391
14/06/2017,00:00,6590,5311,3436,6301,489,3282,4729,7665,2617,2896,4284,1444,,5164,7201,3167,872,10296,3171
15/06/2017,00:00,6773,5280,3324,6344,,3084,4700,7194,2511,2749,4326,1483,,4853,7265,3007,754,10210,3324
16/06/2017,00:00,2317,1870,957,2010,,888,2133,3026,839,676,1510,230,,2107,2800,831,286,3698,1203
17/06/2017,00:00,4495,4064,2320,4289,,1533,3461,4063,1623,1654,2104,2283,,4224,5310,1728,398,6681,1846
18/06/2017,00:00,4037,3283,2011,3557,,1436,2914,3482,1290,1293,1884,1477,,3670,4794,1385,315,5820,1515
19/06/2017,00:00,4483,3839,2495,4448,,2350,3635,5794,1925,1957,3201,1362,,3411,5213,1994,605,7767,1917
20/06/2017,00:00,3359,2831,1766,3271,,1625,2961,4257,1334,1210,2189,1086,,2842,4002,1365,374,5377,1442
21/06/2017,00:00,4626,3750,2441,1927,,2431,3778,5666,1854,1759,2985,1467,,3711,5258,1966,513,7587,2269
22/06/2017,00:00,5899,5079,3321,5454,,2711,4133,2203,2191,2600,3678,2618,,4238,6157,2855,628,9286,2502
23/06/2017,00:00,1858,1707,1036,1873,,714,2112,0,699,647,1093,381,,1857,2487,778,169,3462,880
24/06/2017,00:00,4265,3932,2469,4141,,1315,3119,0,1431,1742,1510,3195,,3668,5031,1947,299,5505,1270
25/06/2017,00:00,3145,2892,1658,2982,,1166,2316,0,1080,1373,1394,1960,,3016,3857,1442,239,4574,1141
26/06/2017,00:00,4823,4613,3092,5275,,2554,3539,0,2057,2221,2991,2658,,4214,5956,2309,503,7810,2057
27/06/2017,00:00,4515,3566,2434,4363,,2178,3062,0,1766,1832,2954,1594,,3344,5052,2077,604,7339,2035
28/06/2017,00:00,5413,3839,2558,4995,,2400,3663,0,1877,2149,3182,1855,,3868,5725,2532,691,8224,2424
29/06/2017,00:00,3446,2618,1552,3186,,1576,2593,0,1277,1378,2255,838,,2569,4000,1566,407,5634,1635
30/06/2017,00:00,2644,1980,1173,2412,,968,2205,0,973,810,1450,599,,2168,2952,997,238,4309,1206
01/07/2017,00:00,2078,1582,842,1713,,625,1555,0,701,704,759,637,,1682,2573,857,159,3003,881
02/07/2017,00:00,3966,3092,2009,3431,,1297,2559,0,1338,1474,1851,2651,,3344,4032,1691,372,5062,1493
03/07/2017,00:00,5079,4040,2656,4733,,2297,3380,0,2011,2167,2865,2519,,3994,5897,2260,413,7884,2158
04/07/2017,00:00,7216,5291,3332,6388,,2973,4071,0,2549,2936,3895,2952,,4416,7109,3305,792,10061,2862
05/07/2017,00:00,7063,5442,3385,6413,,2984,4317,0,2681,3035,4108,3313,,4704,7175,3400,884,10455,2861
06/07/2017,00:00,6642,4898,2970,5823,,2788,4143,0,2392,2623,3897,2140,,4347,6706,3009,809,9902,2705
07/07/2017,00:00,3916,2738,1493,3351,,1352,2891,0,1442,1276,2204,905,,2870,4334,1565,449,6226,1567
08/07/2017,00:00,3684,2240,1210,2781,,949,2247,0,931,903,1544,1248,,2557,3693,1385,257,4774,1538
09/07/2017,00:00,4339,3935,2370,3942,,1428,3137,0,1430,1682,2003,3035,,4062,5072,1856,377,6214,1376
10/07/2017,00:00,3922,2997,1893,2948,,2010,2993,0,1661,1594,2585,1133,,3077,4494,1929,533,6635,1667
11/07/2017,00:00,6025,4280,2695,4960,,2518,3754,0,2217,2654,3512,2329,,3960,6392,2889,851,8998,2307
12/07/2017,00:00,5669,4076,2547,4530,,2529,3502,0,2143,2583,3451,2090,,4158,5908,2787,624,8758,2654
13/07/2017,00:00,4840,3781,2192,3611,,2039,3393,0,1789,1828,2936,1443,,3782,5309,2091,655,7668,2148
14/07/2017,00:00,3724,2700,1726,2745,366,1513,2656,0,1441,1551,2413,1180,,2778,4142,1845,421,6104,1741
15/07/2017,00:00,4607,3592,2172,3651,1274,1183,3009,0,1273,1602,1661,2585,,3325,4568,1918,395,5602,1450
16/07/2017,00:00,4385,3881,2506,3782,1696,1384,3157,0,1361,1847,1808,3001,,3928,4825,2024,281,6001,1393
17/07/2017,00:00,4314,3248,1948,3719,1035,1958,3049,0,1658,1750,2768,1152,,2958,4759,2018,644,7081,1837
18/07/2017,00:00,6583,5162,3209,5729,1830,2767,4148,0,2520,2859,3742,2651,,4328,6809,3263,850,9833,2273
19/07/2017,00:00,5822,4573,2826,5150,1558,2440,3664,0,2134,2536,3438,1723,,3651,6216,2976,762,9245,1369
20/07/2017,00:00,5690,4347,2732,5055,1455,2393,3553,0,2056,2401,3362,1761,,3848,6097,2706,794,8821,1304
21/07/2017,00:00,5319,3904,2402,4779,1406,1984,3570,0,1938,2198,2976,2017,,3727,5535,2389,614,7851,1260
22/07/2017,00:00,4996,4267,2352,4332,1505,1313,3394,0,1519,1819,1895,2964,,3684,5311,170,344,6995,1088
23/07/2017,00:00,4778,3991,2411,4061,1636,1454,3160,0,1541,1731,1855,3065,,4062,5270,16,388,6159,1077
24/07/2017,00:00,1732,1158,735,1500,352,820,1549,0,665,615,1207,378,,1292,1948,23,249,4125,666
25/07/2017,00:00,5068,3768,2382,4451,1433,1973,1369,0,1885,1759,3004,1805,,3741,5431,7,608,7518,1552
26/07/2017,00:00,5588,4347,2852,5359,1662,2493,1297,0,2296,2233,3563,2646,,4218,6240,31,779,8380,1571
27/07/2017,00:00,4165,3475,2015,4049,1001,1896,1219,0,1688,1455,2841,1094,,3407,5106,29,598,7032,1231
28/07/2017,00:00,5141,4412,2874,5204,1608,2100,1313,0,2141,1742,3313,2711,,4545,6382,190,656,8673,1509
29/07/2017,00:00,4081,3937,2301,4276,1506,1358,1095,0,1551,1433,2069,2843,,4102,5709,17,310,6817,1218
30/07/2017,00:00,4097,3913,2364,4214,1626,1363,1151,0,1524,1235,2168,2783,,4114,5320,6,279,6385,1080
31/07/2017,00:00,3964,3643,2392,4277,1200,1962,1002,0,1843,1550,3039,1646,,3509,5187,27,650,6851,1198
01/08/2017,00:00,5616,4855,2988,5647,1674,2401,1324,1579,2308,2108,3514,2847,,4203,6488,13,791,8650,1350
02/08/2017,00:00,5364,4319,2607,4141,1482,2362,1192,6558,2189,2145,3285,2214,,3648,6261,71,768,8109,1456
03/08/2017,00:00,5196,4043,2463,4881,1268,2185,1062,6125,2021,1893,3145,1834,6,3851,5920,1900,767,7712,1262
04/08/2017,00:00,3243,2485,1643,3025,813,1255,559,3864,1329,1243,1928,1284,2175,2434,3751,1334,416,5231,909
05/08/2017,00:00,2570,2282,1236,2386,656,765,517,2650,908,939,1133,1440,2572,2235,3313,1185,279,3963,715
06/08/2017,00:00,3399,3286,1921,3325,1205,1197,757,3091,1194,1459,1629,2322,3377,3910,4463,1574,444,5556,1021
07/08/2017,00:00,4236,3462,2330,4079,1187,2078,800,5408,1729,1842,2982,1534,2441,3461,4942,2076,633,7257,1311
08/08/2017,00:00,5632,4777,3121,5566,1770,2385,909,6816,2259,2333,3542,2386,3018,4220,6145,2647,844,8776,1592
09/08/2017,00:00,5560,4547,2815,5310,1537,2477,726,6797,2216,2446,3623,2085,2862,4188,6352,2729,727,8790,1553
10/08/2017,00:00,5516,4394,2680,4931,1369,2276,711,6505,2143,2258,3295,1979,2593,4091,6169,2697,749,8466,1463
11/08/2017,00:00,4950,3757,2325,4374,1206,1781,624,5791,1759,1838,2842,1709,2525,3634,5340,2288,573,8219,1527
12/08/2017,00:00,2870,2508,1471,2431,642,842,348,2711,891,875,1127,950,1827,2452,3447,977,225,4953,1096
13/08/2017,00:00,4563,4158,2614,4055,1729,1413,545,3619,1430,1894,1840,2915,2997,4134,5132,2055,396,6521,1432
14/08/2017,00:00,5299,4369,2858,4706,1605,2495,552,6417,2153,2207,3353,2217,2852,3997,5990,2591,772,7841,2477
15/08/2017,00:00,3402,2682,1685,3261,799,1468,424,4306,1423,1216,2133,938,1684,2853,3805,1432,457,5310,1675
16/08/2017,00:00,5927,4904,3232,5346,1759,2665,651,6797,2325,2509,3751,2359,3267,4708,6723,2915,822,8995,2828
17/08/2017,00:00,5595,4573,2966,5467,1550,2431,687,6421,2194,2372,3433,2097,3011,4139,5919,2801,714,8641,2619
18/08/2017,00:00,2080,1810,1140,1971,429,918,451,3075,886,671,1355,335,854,2027,2849,942,315,3854,1137
19/08/2017,00:00,3176,3224,1917,3253,1006,1451,697,3548,1193,1312,1685,1407,1990,4877,4931,1410,324,6451,1659
20/08/2017,00:00,4027,4002,2566,4014,1544,1332,776,3705,1475,1674,1727,2438,2724,3794,4834,1869,311,5907,1348
21/08/2017,00:00,5253,4399,3100,5165,1566,2571,591,6087,2049,2256,3379,2180,3018,3666,6095,2574,692,7659,2155
22/08/2017,00:00,3489,2451,1658,3098,772,1687,373,4080,1405,1331,2293,769,1540,2256,3810,1555,408,5570,1570
23/08/2017,00:00,5250,3966,2788,4963,1551,2495,645,6048,1855,2111,3157,1723,2822,3999,5703,2471,573,8027,2410
24/08/2017,00:00,5304,4341,2756,4963,1573,2595,826,6299,2153,2198,3390,1994,2857,4305,6247,2450,747,8525,2534
25/08/2017,00:00,5130,4145,2678,4406,1428,2248,713,5739,2081,2091,2961,1930,2617,4026,5865,2447,704,8203,2367
26/08/2017,00:00,3599,3596,2233,3336,1227,1190,735,3305,1283,1383,1535,2099,1971,3315,4359,1540,335,5673,1505
